|Вид|Разрядность|Макс. частота дискретизации|Соотношение сигнал/шум|mini-Jack (3.5 мм)|Оптический S/P-DIF|Тип|Интерфейс подключения|Количество каналов|Аудиочип|Поддержка стандартов|Поддержка ASIO|Дополнительно|Маркировка производителя|Код EAN / UPS / GTIN|Поддержка Mac|Динамический диапазон|Коаксиальный S/P-DIF|MIDI|RCA|Дополнительное питание
Creative Sound Blaster Recon3D PCIe|геймерская|24 бит|96 кГц|102 дБ|4|1|внутренняя|PCI-E|5.1|Sound Core3D|EAX 5.0 HD|Есть|усилитель для наушников / до 600 Ом /, выход на переднюю панель||||||||
Ugreen USB 2.0 Sound Card|обычная||||1||внешняя|USB|2|C-Media HS-100B|||||||||||
Orico SC2-BK CA911448|обычная||||2||внешняя|USB|2|||||CA911448|||||||
Hama 7.1 Surround USB|обычная|16 бит|44.1 кГц||1||внешняя|USB|7.1||XeaR, Virtual Surround Sound||||4007249516206||||||
Creative Sound Blaster Play! 3|обычная|24 бит|96 кГц|93 дБ|1||внешняя|USB|2||||усилитель для наушников / 300 Ом /|||Есть|||||
Asus Xonar D2|геймерская|16 бит|192 кГц|118 дБ|4||внутренняя|PCI|7.1|ASUS AV200|Dolby Digital, DTS|Есть|||||96 дБ|1|1 / на дополнительной планке /||
Ugreen CM383 80864|обычная||||1||внешняя|USB|2|||||80864|6957303888641||||||
Ugreen US206 30712|обычная||||||внешняя|USB|2|||||30712|||||||
Ugreen USB Sound Card|обычная||||2||внешняя|USB|2|SSS1629|||||||||||
Edifier GS02|обычная|16 бит|48 кГц||1||внешняя|USB|7.1 / virtual /|C-Media HS-100B|||||||||||
Asus Xonar U7 MKII|геймерская|24 бит|192 кГц|110 дБ|4||внешняя|USB / 2.0 /|7.1|C-Media 6632AX||Есть|усилитель для наушников||4712900481396|Есть|110 дБ|1||2|
Orico SKT3-BK|обычная||||2||внешняя|USB|2||||||||||||
Orico SC2-BK SC2|обычная||||2||внешняя|USB|2||||||||||||
Asus Xonar AE|геймерская|24 бит|192 кГц|103 дБ|5|1|внутренняя|PCI-E|7.1|C-Media 6632AE||Есть|||||||||
Asus Strix Raid PRO|аудиофильская (Hi-Fi)|24 бит|192 кГц|110 дБ|5||внутренняя|PCI-E|7.1|C-Media 6632AX||Есть|усилитель для наушников, внешний модуль управления|||||1|||Есть
Edifier GS01|обычная|16 бит|44.1 кГц||1||внешняя|USB|2|C-Media HS-100B|||||||||||
Asus Xonar SE|геймерская|24 бит|192 кГц|110 дБ|3|1|внутренняя|PCI-E|5.1|C-Media 6620A||Есть|выход на переднюю панель||||||||
Asus Strix Soar|геймерская|24 бит|192 кГц|110 дБ|5||внутренняя|PCI-E|7.1|C-Media 6632AX||Есть|усилитель для наушников|||||1|||Есть
Asus Xonar U5|обычная|24 бит|192 кГц|104 дБ|4||внешняя|USB|5.1|C-Media CM6631A||Есть|усилитель для наушников|||Есть|104 дБ|1|||
Creative Sound BlasterX G6 70SB177000000|геймерская|24 бит|192 кГц||2||внешняя|3.5 мм (mini-Jack)|7.1|SB-Axx1|||усилитель для наушников / Xamp Dolby Digital (16-600 Ом) /|70SB177000000|||114 дБ||||Есть
Asus Strix Raid DLX|аудиофильская (Hi-Fi)|24 бит|192 кГц|117 дБ|5||внутренняя|PCI-E|7.1|C-Media 6632AX||Есть|усилитель для наушников, внешний модуль управления|||||1|||Есть
Creative Sound Blaster Z SE 70SB150000004|геймерская|24 бит|192 кГц|116 дБ|4|1|внутренняя|PCI-E|5.1|Sound Core3D|DTS, Dolby Digital Live|Есть|усилитель для наушников|70SB150000004|||||||
